paises;CO2_TotalesMt;CO2kg_1000S;CO2t_per_capita;Var;enlace
Libia;63,278;0,43;9,38;27,81%;/energia-y-medio-ambiente/emisiones-co2/libia?anio=2021
Marruecos;73,968;0,26;1,97;8,45%;/energia-y-medio-ambiente/emisiones-co2/marruecos?anio=2021
Moldavia;9,550;0,26;2,38;7,21%;/energia-y-medio-ambiente/emisiones-co2/moldavia?anio=2021
Madagascar;5,300;0,13;0,19;4,18%;/energia-y-medio-ambiente/emisiones-co2/madagascar?anio=2021
Macedonia del Norte;7,508;0,22;3,59;4,81%;/energia-y-medio-ambiente/emisiones-co2/macedonia?anio=2021
Malí;5,922;0,13;0,28;4,14%;/energia-y-medio-ambiente/emisiones-co2/mali?anio=2021
Birmania - Myanmar;40,051;0,18;0,72;0,04%;/energia-y-medio-ambiente/emisiones-co2/birmania?anio=2021
Mongolia;24,985;0,64;7,69;0,54%;/energia-y-medio-ambiente/emisiones-co2/mongolia?anio=2021
Mauritania;4,257;0,18;0,87;4,71%;/energia-y-medio-ambiente/emisiones-co2/mauritania?anio=2021
Malta;1,745;0,08;4,00;7,08%;/energia-y-medio-ambiente/emisiones-co2/malta?anio=2021
Mauricio;4,128;0,16;3,24;6,84%;/energia-y-medio-ambiente/emisiones-co2/mauricio?anio=2021
Maldivas;2,206;0,24;4,74;2,34%;/energia-y-medio-ambiente/emisiones-co2/maldivas?anio=2021
Malaui;1,819;0,06;0,09;3,53%;/energia-y-medio-ambiente/emisiones-co2/malaui?anio=2021
México;418,348;0,17;3,09;3,13%;/energia-y-medio-ambiente/emisiones-co2/mexico?anio=2021
Malasia;251,555;0,28;7,56;-3,05%;/energia-y-medio-ambiente/emisiones-co2/malasia?anio=2021
Mozambique;8,644;0,22;0,26;4,64%;/energia-y-medio-ambiente/emisiones-co2/mozambique?anio=2021
Namibia;4,065;0,18;1,48;0,93%;/energia-y-medio-ambiente/emisiones-co2/namibia?anio=2021
Níger;2,470;0,08;0,10;5,16%;/energia-y-medio-ambiente/emisiones-co2/niger?anio=2021
Nigeria;127,029;0,12;0,60;2,92%;/energia-y-medio-ambiente/emisiones-co2/nigeria?anio=2021
Nicaragua;5,002;0,13;0,77;10,80%;/energia-y-medio-ambiente/emisiones-co2/nicaragua?anio=2021
Países Bajos;146,868;0,15;8,52;2,34%;/energia-y-medio-ambiente/emisiones-co2/paises-bajos?anio=2021
Noruega;42,329;0,12;7,70;0,65%;/energia-y-medio-ambiente/emisiones-co2/noruega?anio=2021
Nepal;14,314;0,12;0,47;1,71%;/energia-y-medio-ambiente/emisiones-co2/nepal?anio=2021
Nueva Zelanda;32,603;0,15;6,69;-2,90%;/energia-y-medio-ambiente/emisiones-co2/nueva-zelanda?anio=2021
Omán;94,620;0,62;17,95;7,97%;/energia-y-medio-ambiente/emisiones-co2/oman?anio=2021
Panamá;12,511;0,10;2,87;10,62%;/energia-y-medio-ambiente/emisiones-co2/panama?anio=2021
Perú;55,144;0,13;1,64;17,05%;/energia-y-medio-ambiente/emisiones-co2/peru?anio=2021
Papúa Nueva Guinea;6,571;0,18;0,74;0,91%;/energia-y-medio-ambiente/emisiones-co2/papua-nueva-guinea?anio=2021
Filipinas;147,956;0,16;1,33;5,14%;/energia-y-medio-ambiente/emisiones-co2/filipinas?anio=2021
Pakistán;219,792;0,18;1,04;6,86%;/energia-y-medio-ambiente/emisiones-co2/pakistan?anio=2021
Polonia;320,768;0,25;8,48;8,67%;/energia-y-medio-ambiente/emisiones-co2/polonia?anio=2021
Palaos;1,324;5,70;60,17;5,80%;/energia-y-medio-ambiente/emisiones-co2/palaos?anio=2021
Paraguay;8,891;0,10;1,24;6,32%;/energia-y-medio-ambiente/emisiones-co2/paraguay?anio=2021
Catar;97,694;0,39;34,40;1,38%;/energia-y-medio-ambiente/emisiones-co2/catar?anio=2021
Rumanía;78,747;0,13;4,08;8,27%;/energia-y-medio-ambiente/emisiones-co2/rumania?anio=2021
Rusia;1.942,535;0,48;13,52;8,18%;/energia-y-medio-ambiente/emisiones-co2/rusia?anio=2021
Ruanda;1,236;0,04;0,09;3,59%;/energia-y-medio-ambiente/emisiones-co2/ruanda?anio=2021
Arabia Saudita;586,398;0,37;16,63;0,40%;/energia-y-medio-ambiente/emisiones-co2/arabia-saudita?anio=2021
Islas Salomón;0,329;0,19;0,50;1,61%;/energia-y-medio-ambiente/emisiones-co2/islas-salomon?anio=2021
Seychelles;1,046;0,39;10,79;2,89%;/energia-y-medio-ambiente/emisiones-co2/seychelles?anio=2021
Sudán;21,366;0,12;0,36;-0,65%;/energia-y-medio-ambiente/emisiones-co2/sudan?anio=2021
Suecia;38,922;0,07;3,82;-0,77%;/energia-y-medio-ambiente/emisiones-co2/suecia?anio=2021
Singapur;58,181;0,10;9,71;3,28%;/energia-y-medio-ambiente/emisiones-co2/singapur?anio=2021
Eslovenia;14,171;0,17;6,81;-1,41%;/energia-y-medio-ambiente/emisiones-co2/eslovenia?anio=2021
Eslovaquia;37,482;0,22;6,88;13,20%;/energia-y-medio-ambiente/emisiones-co2/eslovaquia?anio=2021
Sierra Leona;1,009;0,07;0,12;4,75%;/energia-y-medio-ambiente/emisiones-co2/sierra-leona?anio=2021
Senegal;11,981;0,20;0,68;4,69%;/energia-y-medio-ambiente/emisiones-co2/senegal?anio=2021
Somalia;0,764;0,04;0,05;3,37%;/energia-y-medio-ambiente/emisiones-co2/somalia?anio=2021
